Station,Place,Local authority,Managed by,Station code,Travelcard Zone,Principal lines,Latitude,Longitude,DurationTerm,Terminus
Mill Hill Broadway,Mill Hill,Barnet,First Capital Connect,MIL,4,Thameslink,51.6128 ,-0.2491,,
Mitcham Junction,Mitcham,Merton,Southern,MIJ,4,Sutton & Mole Valley,51.393 ,-0.1576,,
Moorgate,Moorgate,City of London,London Underground,ZMG,1,Northern City,51.5187 ,-0.0896,,
Morden South,Morden,Merton,First Capital Connect,MDS,4,Thameslink,51.3965 ,-0.199,,
Mortlake,Mortlake,Richmond,South West Trains,MTL,3,Waterloo to Reading,51.4682 ,-0.2672,25,Waterloo
Motspur Park,Motspur Park,Merton,South West Trains,MOT,4,Sutton & Mole Valley,51.3958 ,-0.2397,26,Waterloo
Mottingham,Mottingham,Greenwich,Southeastern,MTG,4,Dartford Loop,51.4401 ,0.0504,,
New Barnet,New Barnet,Barnet,First Capital Connect,NBA,5,East Coast Main,51.6488 ,-0.1738,,
New Beckenham,Beckenham,Bromley,Southeastern,NBC,4,Mid-Kent,51.4164 ,-0.0348,,
New Cross,New Cross,Lewisham,Southeastern,NWX,2,Hayes,51.476 ,-0.0325,,
New Cross Gate,New Cross,Lewisham,Southern,NXG,2,Brighton Main Line,51.4752 ,-0.0406,,
New Eltham,New Eltham,Greenwich,Southeastern,NEH,4,Dartford Loop,51.438 ,0.0705,,
New Malden,New Malden,Kingston,South West Trains,NEM,4,South Western M,51.4039 ,-0.256,26,Waterloo
New Southgate,New Southgate,Barnet,First Capital Connect,NSG,4,East Coast Main,51.6142 ,-0.1432,,
Norbiton,Norbiton,Kingston,South West Trains,NBT,5,Kingston Loop,51.4124 ,-0.2838,30,Waterloo
Norbury,Norbury,Croydon,Southern,NRB,3,Sutton & Mole Valley,51.4114 ,-0.1214,,
North Dulwich,Dulwich,Southwark,Southern,NDL,2,Sutton & Mole Valley,51.4543 ,-0.0887,,
North Sheen,North Sheen,Richmond,South West Trains,NSH,3,Waterloo to Reading,51.4656 ,-0.2865,27,Waterloo
North Wembley,Wembley,Brent,London Underground,NWB,4,Watford DC,51.5627 ,-0.304,,
Northolt Park,Northolt,Ealing,Chiltern,NLT,5,Chiltern Main,51.5574 ,-0.3595,,
Northumberland Park,Northumberland Park,Haringey,National Express East Anglia,NUM,3,Lea Valley,51.5986 ,-0.0551,,
Norwood Junction,South Norwood,Croydon,Southern,NWD,4,Brighton Main,51.3971 ,-0.0749,,
Nunhead,Nunhead,Southwark,Southeastern,NHD,2,Chatham Main,51.4671 ,-0.0527,,
Oakleigh Park,Oakleigh Park,Barnet,First Capital Connect,OKL,4,East Coast Main,51.6379 ,-0.1667,,
Old Street,Old Street,Islington,London Underground,OLD,1,Northern City,51.5258 ,-0.085,,
Orpington,Orpington,Bromley,Southeastern,ORP,6,South Eastern,51.3741 ,0.0885,,
Palmers Green,Palmers Green,Enfield,First Capital Connect,PAL,4,Hertford Loop,51.6184 ,-0.1102,,
Peckham Rye,Peckham,Southwark,Southern,PMR,2,Chatham Main,51.4701 ,-0.0691,,
Penge East,Penge,Bromley,Southeastern,PNE,4,Chatham Main,51.4191 ,-0.0537,,
Penge West,Penge,Bromley,Southern,PNW,4,Brighton Main,51.4174 ,-0.0606,,
Petts Wood,Petts Wood,Bromley,Southeastern,PET,5,Sutton & Mole Valley,51.3889 ,0.0742,,
Plumstead,Plumstead,Greenwich,Southeastern,PLU,4,North Kent,51.4897 ,0.0844,,
Ponders End,Ponders End,Enfield,National Express East Anglia,PON,5,Lea Valley,51.642 ,-0.0349,,
Purley,Purley,Croydon,Southern,PUR,6,Brighton Main,51.3377 ,-0.1135,,
Purley Oaks,Purley,Croydon,Southern,PUO,6,Brighton Main,51.3469 ,-0.0987,,
Putney,Putney,Wandsworth,South West Trains,PUT,2,Waterloo to Reading,51.4611 ,-0.2162,17,Waterloo
Queen's Park,Queen's Park,Brent,London Underground,QPW,2,Watford DC,51.5341 ,-0.2053,,
Queens Road Peckham,Peckham,Southwark,Southern,QRP,2,S London (Inner),51.4736 ,-0.0573,,
Queenstown Road,Battersea,Wandsworth,South West Trains,QRB,2,South Western M,51.4748 ,-0.147,10,Waterloo
Rainham,Rainham,Havering,c2c,RNM,6,"L, T & S",51.5169 ,0.1905,,
Ravensbourne,Ravensbourne,Bromley,Southeastern,RVB,4,Catford Loop,51.4141 ,-0.0075,,
Raynes Park,Raynes Park,Merton,South West Trains,RAY,4,South Western M,51.4094 ,-0.2299,23,Waterloo
Rectory Road,Stoke Newington,Hackney,National Express East Anglia,REC,2,Lea Valley,51.5584 ,-0.0681,,
Reedham,Purley,Croydon,Southern,RHM,6,Tatttenham Corner,51.3313 ,-0.1233,,
Richmond,Richmond,Richmond,South West Trains,RMD,4,Waterloo to Reading,51.463 ,-0.3014,21,Waterloo
Riddlesdown,Purley,Croydon,Southern,RDD,6,Oxted,51.3323 ,-0.0996,,
Romford,Romford,Havering,National Express East Anglia,RMF,6,Great Eastern Main,51.5749 ,0.1827,,
Sanderstead,Sanderstead,Croydon,Southern,SNR,6,Oxted,51.3484 ,-0.094,,
Selhurst,Selhurst,Croydon,Southern,SRS,4,Sutton & Mole Valley,51.3921 ,-0.0883,,
Seven Kings,Seven Kings,Redbridge,National Express East Anglia,SVK,4,Great Eastern Main,51.5635 ,0.0969,,
Seven Sisters,Seven Sisters,Haringey,National Express East Anglia,SVS,3,Lea Valley,51.5839 ,-0.0756,,
Shortlands,Shortlands,Bromley,Southeastern,SRT,4,Chatham Main,51.4058 ,0.0019,,
Sidcup,Sidcup,Bexley,Southeastern,SID,5,Dartford Loop,51.4338 ,0.104,,
Silver Street,Edmonton,Enfield,National Express East Anglia,SLV,3,Lea Valley,51.6149 ,-0.0676,,
Slade Green,Slade Green,Bexley,Southeastern,SGR,6,North Kent,51.4678 ,0.1904,,
Smitham,Coulsdon,Croydon,Southern,SMI,6,Tattenham Corner,51.3219 ,-0.134,,
South Acton,Acton,Ealing,London Overground,SAT,3,North London,51.4994 ,-0.2707,,
South Bermondsey,Bermondsey,Southwark,Southern,SBM,2,South London Inner,51.4887 ,-0.0548,,
South Greenford,Greenford,Ealing,First Great Western,SGN,4,Greenford Branch,51.5342 ,-0.3369,,
South Hampstead,Hampstead,Camden,London Overground,SOH,2,Watford DC,51.5414 ,-0.1788,,
