1603,Adambrae,55,52.4,3,31.6,W,WL,West Lothian,O
1613,Adam's Green,50,51.9,2,38.8,W,DT,Dorset,O
1625,Adbaston,52,50.7,2,20.9,W,SF,Staffordshire,O
1627,Adber,50,58.9,2,34.6,W,DT,Dorset,O
1628,Adbolton,52,56.4,1,6,W,NT,Nottinghamshire,O
1638,Adderbury,52,0.9,1,18.5,W,ON,Oxfordshire,O
1641,Adderley,52,57.1,2,29.9,W,SH,Shropshire,O
1644,Adderley Green,52,59.8,2,7.6,W,SJ,City of Stoke-on-Trent,O
1662,Addiewell,55,50.7,3,36.3,W,WL,West Lothian,O
1663,Addingham,53,56.5,1,53.1,W,BA,Bradford,O
1665,Addingham Moorside,53,55.4,1,53.1,W,BA,Bradford,O
1668,Addington,51,57,0,55,W,BM,Buckinghamshire,O
1669,Addington,50,27.8,4,27.5,W,CN,Cornwall,O
1670,Addington,51,21.7,0,1.5,W,CY,Croydon,O
1671,Addington,51,18.6,0,22.5,E,KT,Kent,O
1675,Addinston,55,46.3,2,45.4,W,SB,Scottish Borders,O
1678,Addiscombe,51,22.9,0,4,W,CY,Croydon,O
1685,Addlestonemoor,51,22.7,0,29.9,W,SU,Surrey,O
1686,Addlethorpe,53,11.4,0,18.8,E,LL,Lincolnshire,O
1693,Adel,53,51,1,34.9,W,LD,Leeds,O
1700,Adeney,52,45.8,2,26.2,W,WP,Telford and Wrekin,O
1702,Adeyfield,51,45.3,0,26.5,W,HD,Hertfordshire,O
1703,Adfa,52,36.2,3,23.7,W,PW,Powys,O
1704,Adforton,52,20.3,2,52.4,W,HE,Herefordshire,O
1705,Adgestone,50,39.9,1,9.5,W,IW,Isle of Wight,O
1709,Adisham,51,14.2,1,11.3,E,KT,Kent,O
1713,Adlestrop,51,56.7,1,38.6,W,GR,Gloucestershire,O
1717,Adlingfleet,53,41,0,43.2,W,EY,East Riding of Yorkshire,O
1721,Adlington,53,19.2,2,7.7,W,CH,Cheshire East,O
1724,Adlington Park,53,35.9,2,37.6,W,LA,Lancashire,O
1725,Admaston,52,42.5,2,32.4,W,WP,Telford and Wrekin,O
1726,Admaston,52,48.5,1,55.1,W,SF,Staffordshire,O
1729,Admington,52,6.9,1,42,W,WK,Warwickshire,O
1745,Adpar,52,2.7,4,28.3,W,CE,Ceredigion,O
1747,Adsborough,51,3.6,3,2.1,W,ST,Somerset,O
1748,Adscombe,51,7.8,3,9.9,W,ST,Somerset,O
1752,Adstock,51,58,0,55.8,W,BM,Buckinghamshire,O
1755,Adstone,52,9.5,1,7.8,W,NN,Northamptonshire,O
1760,Adswood,53,23.6,2,10.4,W,YY,Stockport,O
1765,Adversane,51,0,0,28.1,W,WS,West Sussex,O
1766,Advie,57,23.5,3,27.4,W,HL,Highland,O
1767,Adwalton,53,45.1,1,38.6,W,LD,Leeds,O
1768,Adwell,51,41.4,0,59.7,W,ON,Oxfordshire,O
1774,Adwick upon Dearne,53,30.5,1,17,W,DR,Doncaster,O
1781,Ae,55,11.4,3,35.7,W,DG,Dumfries and Galloway,O
1798,Affetside,53,37,2,22.2,W,BY,Bury,O
1800,Affleck,57,18.1,2,13.4,W,AB,Aberdeenshire,O
1806,Affpuddle,50,44.4,2,16.6,W,DT,Dorset,O
2024,Afon Eitha,53,0.1,3,3,W,WX,Wrexham,O
2280,Afon Wen,52,54.7,4,18.8,W,GY,Gwynedd,O
2312,Afon-wen,53,14,3,17.8,W,FL,Flintshire,O
2316,Afton,50,40.6,1,30.7,W,IW,Isle of Wight,O
2323,Agar Nook,52,43.5,1,19.6,W,LT,Leicestershire,O
2327,Agbrigg,53,40.2,1,28.6,W,WE,Wakefield,O
2342,Aggborough,52,22.6,2,14.5,W,WO,Worcestershire,O
2344,Agglethorpe,54,16.4,1,52.2,W,NY,North Yorkshire,O
2353,Aglionby,54,54,2,51.9,W,CU,Cumbria,O
2357,Agneash,54,15,4,24.1,W,IM,Isle of Man,O
2366,Aifft,53,12.9,3,19.5,W,DE,Denbighshire,O
2368,Aigburth,53,22.3,2,55.5,W,LP,Liverpool,O
2371,Aiginis,58,12.6,6,16.9,W,WI,Na h-Eileanan an Iar,O
2379,Aike,53,53.7,0,24.6,W,EY,East Riding of Yorkshire,O
2405,Aiketgate,54,48.6,2,48.1,W,CU,Cumbria,O
2415,Aikton,54,52.2,3,7.8,W,CU,Cumbria,O
2419,Ailby,53,15.9,0,9.1,E,LL,Lincolnshire,O
